car_id,year,mileage_km,engine_l,fuel,transmission,price_eur,city,scraped_date,predicted_price,residual
car_101,2018,165543,1.6,Dizel,Manuelni 5 brzina,7850,Veternik,2026-07-15,7370.29781439474,479.70218560525973
car_102,2018,175000,1.2,Benzin,Manuelni 6 brzina,6900,Kruševac,2026-07-15,7331.767277265028,-431.7672772650276
car_103,2011,187000,1.6,Dizel,Manuelni 5 brzina,4390,Šabac,2026-07-15,4290.991156137946,99.00884386205416
car_104,2019,94684,1.2,Benzin,Manuelni 6 brzina,6650,Kraljevo,2026-07-15,8086.409850003554,-1436.4098500035543
car_105,2020,180000,1.5,Dizel,Manuelni 5 brzina,8250,Kragujevac,2026-07-15,8166.2200312998,83.77996870019979
car_106,2007,180882,1.4,Dizel,Manuelni 5 brzina,2750,Kragujevac,2026-07-15,2606.2692638940925,143.73073610590745
car_107,2014,176500,1.0,Benzin + Gas (TNG),Manuelni 5 brzina,4750,Niš,2026-07-15,5616.007462651062,-866.0074626510623
car_108,2019,55080,1.2,Benzin,Manuelni 5 brzina,7450,Kraljevo,2026-07-15,8247.767933167892,-797.7679331678919
car_109,2020,95020,1.2,Benzin,Manuelni 5 brzina,8590,Beograd,2026-07-15,8512.452985226306,77.54701477369417
car_110,2016,138000,1.0,Benzin,Manuelni 5 brzina,5499,Beograd,2026-07-15,6627.691724049955,-1128.6917240499552
car_111,2017,105380,1.2,Benzin,Manuelni 5 brzina,6999,Beograd,2026-07-15,7188.007078966776,-189.00707896677613
car_112,2018,110552,1.2,Benzin,Manuelni 5 brzina,6999,Niš,2026-07-15,7594.346959715669,-595.3469597156691
car_113,2021,84000,1.2,Benzin,Manuelni 5 brzina,7499,Novi Sad,2026-07-15,8984.763729589908,-1485.7637295899076
car_114,2021,107719,1.2,Benzin,Manuelni 5 brzina,7999,Beograd,2026-07-15,8888.125703769918,-889.1257037699179
car_115,2021,59260,1.2,Benzin,Manuelni 5 brzina,8990,Čačak,2026-07-15,9085.561602973548,-95.56160297354836
car_116,2012,193000,1.1,Benzin,Manuelni 5 brzina,3999,Kragujevac,2026-07-15,4693.957526815749,-694.9575268157487
car_117,2016,235294,1.6,Dizel,Manuelni 5 brzina,5950,Šabac,2026-07-15,6231.287993533063,-281.28799353306295
