car_id,year,mileage_km,engine_l,fuel,transmission,price_eur,city,scraped_date
car_302,2018,57000,1.2,Benzin,Manuelni 5 brzina,9500,Beograd,2026-07-15
car_303,2014,218000,1.4,Dizel,Manuelni 5 brzina,5600,Beograd,2026-07-15
car_304,2003,206971,1.6,Benzin,Manuelni 5 brzina,1500,Pirot,2026-07-15
car_305,2020,61726,1.2,Benzin,Manuelni 5 brzina,8250,Šabac,2026-07-15
car_306,2021,77812,1.2,Benzin,Manuelni 5 brzina,8500,Beograd,2026-07-15
car_307,2005,243000,1.1,Benzin,Manuelni 5 brzina,2000,Novi Sad,2026-07-15
car_308,2011,218000,1.6,Dizel,Manuelni 5 brzina,4100,Užice,2026-07-15
car_309,2014,218121,1.2,Benzin,Manuelni 5 brzina,4650,Srbobran,2026-07-15
car_310,2017,150500,1.2,Benzin,Manuelni 5 brzina,7600,Valjevo,2026-07-15
car_311,2012,186678,1.6,Dizel,Manuelni 5 brzina,4299,Pančevo,2026-07-15
car_312,2003,320000,1.1,Benzin + Gas (TNG),Manuelni 5 brzina,1450,Pančevo,2026-07-15
car_313,2011,238000,1.4,Benzin,Manuelni 5 brzina,4700,Leskovac,2026-07-15
car_314,2003,190000,1.4,Dizel,Manuelni 5 brzina,1420,Koceljeva,2026-07-15
car_315,2017,176000,1.6,Dizel,Manuelni 5 brzina,5890,Novi Sad,2026-07-15
car_316,2012,298500,1.4,Dizel,Manuelni 5 brzina,3000,Barič,2026-07-15
car_317,2017,167000,1.6,Dizel,Manuelni 5 brzina,7700,Apatin,2026-07-15
car_318,2007,160000,1.1,Benzin,Manuelni 5 brzina,2300,Pančevo,2026-07-15
car_319,2014,273000,1.4,Dizel,Manuelni 5 brzina,3899,Beograd,2026-07-15
car_320,2002,280000,1.4,Dizel,Manuelni 5 brzina,1650,Radenković,2026-07-15
car_321,2007,192509,1.4,Benzin,Manuelni 5 brzina,2500,Valjevo,2026-07-15
car_322,2005,201000,1.4,Dizel,Manuelni 5 brzina,2350,Paraćin,2026-07-15
car_323,2007,342000,1.4,Dizel,Manuelni 5 brzina,1500,Radičević,2026-07-15
car_324,2004,136620,1.4,Benzin,Manuelni 5 brzina,2490,Mali Beograd,2026-07-15
car_325,2014,229000,1.4,Dizel,Manuelni 5 brzina,3950,Novi Sad,2026-07-15
car_326,2009,191287,1.6,Dizel,Manuelni 5 brzina,2900,Kragujevac,2026-07-15
car_327,2016,98000,1.6,Dizel,Manuelni 5 brzina,2700,Valjevo,2026-07-15
car_328,2020,140000,1.2,Benzin,Manuelni 5 brzina,7500,Smederevo,2026-07-15
car_329,2006,27300,1.4,Dizel,Manuelni 5 brzina,2100,Kragujevac,2026-07-15
car_330,2019,185000,1.5,Dizel,Manuelni 5 brzina,9200,Bela Crkva,2026-07-15
car_331,2008,230000,1.4,Benzin,Manuelni 5 brzina,1800,Plandište,2026-07-15
car_332,2010,179000,1.4,Benzin + Gas (TNG),Manuelni 5 brzina,4199,Niš,2026-07-15
car_333,2010,205800,1.4,Benzin,Manuelni 5 brzina,3450,Kruševac,2026-07-15
car_334,2003,204000,1.1,Benzin,Manuelni 5 brzina,1550,Subotica,2026-07-15
car_335,2007,340000,1.4,Dizel,Manuelni 5 brzina,2100,Šabac,2026-07-15
car_336,2003,395000,1.4,Dizel,Manuelni 5 brzina,1400,Mladenovac,2026-07-15
